Illumicode,N,Mean GRN,Dev GRN,Mean RED,Dev RED
2170,23,8190,1167,13016,1801
3901,28,6726,729,623,95
3625,39,9019,1481,1778,335
1836,16,5316,568,4451,582
4082,23,6335,1006,1517,239
2707,26,9748,2588,1001,251
2297,26,684,97,13347,2450
5285,27,655,66,2153,235
3517,29,1709,203,1010,160
2787,36,2178,427,2768,534
2930,27,831,116,5270,933
1235,27,779,124,315,108
2166,28,358,57,1856,224
119,28,3625,527,429,42
1270,32,1329,228,241,54
134,34,272,27,142,29
3429,43,5991,851,1357,245
2738,21,531,71,4179,627
3992,30,3981,434,466,70
2192,36,2513,319,3864,527
3824,34,6073,967,470,80
1950,31,781,140,7314,1294
2157,28,7297,1078,1286,160
936,29,865,115,6258,745
2398,28,3842,447,517,90
101,27,5246,686,631,135
1338,33,887,97,4783,766
338,26,381,62,249,69
3926,34,1067,132,361,76
1851,36,9303,1510,399,66
1285,31,3357,329,7897,830
935,36,430,54,5520,601
1370,31,639,90,7854,1510
263,33,14212,3027,613,109
775,33,511,69,6270,893
4119,23,3515,519,549,141
1665,17,6897,1556,500,106
1871,29,432,47,4408,533
69,21,2654,343,280,67
4002,24,3482,467,896,102
1942,27,7693,917,507,79
3448,29,4011,314,1870,243
1954,32,1839,217,6529,979
2816,38,916,119,1575,201
2986,30,6827,835,385,70
1931,25,573,61,7581,1342
122,23,2684,235,3039,389
1608,38,1903,204,1510,224
1000,33,9609,1578,4218,659
674,29,1434,253,8440,1466
1700,39,7838,1523,609,131
976,32,13292,2302,374,55
2361,38,537,68,6142,761
969,30,4833,641,987,224
182,36,369,45,5540,1087
692,37,4278,593,747,116
3347,23,6757,662,629,218
1953,25,660,99,14957,2151
2316,24,9025,2067,10617,2998
1009,34,4106,584,673,163
3941,24,717,46,16735,2043
1209,21,578,45,8111,1176
3501,30,4504,591,4180,645
1550,38,10733,2229,3245,623
1331,26,794,90,9644,1288
743,36,1880,251,2299,322
2883,33,2570,387,2073,320
822,24,9505,1390,608,135
4204,32,4898,529,1030,170
1171,28,333,36,2053,294
4235,24,488,67,9222,1196
2320,38,12826,2548,929,204
3693,31,356,38,11153,1347
2137,23,1049,171,14930,1875
2059,31,621,89,11959,1156
619,27,6222,794,700,135
1462,25,8625,1668,2269,477
140,27,3087,331,6259,677
2795,29,612,82,13428,1713
127,32,548,111,356,108
273,33,616,55,3483,484
240,35,11029,1250,10031,1820
2057,33,402,55,2591,320
952,24,2015,196,5094,559
2723,31,524,53,13059,2157
1001,24,853,128,4741,710
1020,31,1621,234,8566,1337
700,31,2426,314,690,171
501,40,6219,1455,15734,2522
1987,25,13986,2999,833,210
398,18,3487,584,7144,1299
1951,30,2087,313,465,92
278,36,10761,867,131,33
671,27,2885,375,401,99
881,43,650,87,3369,504
3126,27,465,47,5992,748
270,24,1392,168,11660,1333
5626,27,11533,2137,2022,401
2926,42,3068,474,498,104
3066,33,3340,383,368,57
2190,29,508,31,6255,903
3057,33,829,148,11402,2105
1768,34,5135,737,4686,673
2584,29,588,84,4064,594
6082,37,2201,292,756,123
3294,18,6528,699,644,135
4993,28,532,67,9881,1277
2024,27,8093,1284,5941,830
5625,26,3932,414,1139,187
5055,30,2788,332,3967,469
5829,37,599,84,12662,2123
3975,21,5013,744,5137,558
4977,26,7745,1245,346,49
1992,28,332,46,254,74
4125,29,11306,2426,942,231
2729,33,7794,1262,800,133
3670,25,617,43,6486,721
1730,28,332,43,1478,220
2898,33,1321,155,11625,1582
951,25,18411,3790,711,114
3125,46,677,80,13391,2214
2630,24,2519,370,3200,462
3690,29,608,88,3662,618
2789,29,946,104,12054,1710
1761,26,929,112,11759,1591
979,39,3715,603,3303,529
1151,28,511,64,3875,538
601,28,1200,182,7187,1145
5602,30,4960,584,4291,507
3160,39,1808,218,9211,1155
4094,21,402,59,6992,1292
2440,27,5401,693,1942,222
5768,26,570,65,9567,1080
3914,25,6258,684,576,142
5342,20,617,75,4220,581
4278,21,740,101,6510,579
4136,25,3474,476,675,100
2195,24,466,58,8857,1082
3484,26,665,86,8577,1277
5148,34,1562,225,7271,1116
3366,40,1435,265,3224,586
5733,36,495,53,12079,2129
4012,31,679,108,5246,895
6125,37,3839,665,506,91
3828,45,497,67,10168,1680
4086,25,473,67,4752,856
2311,29,761,126,3360,434
3910,31,496,68,7919,1206
1895,18,498,47,5577,896
4232,27,5759,1059,408,80
2853,33,931,123,2914,619
4061,29,495,69,8529,2199
2808,32,8399,1100,1082,189
1078,39,7634,1462,6495,1356
3942,20,4717,609,651,119
2732,25,2253,378,570,92
4303,36,378,44,7205,947
2404,32,1085,124,7940,1026
2035,21,7746,935,1316,297
971,30,4509,797,394,96
2296,31,14335,2404,9431,2154
110,34,3359,575,769,152
3736,40,2150,329,4164,721
2698,18,779,107,6793,619
4209,18,7211,828,911,174
3042,34,6570,1361,394,87
1265,33,600,75,2950,604
2117,43,3047,320,271,33
682,23,938,123,10370,1832
2208,29,2436,354,2881,421
887,30,2517,373,5413,956
1838,22,761,118,2667,588
2050,31,5185,805,639,103
111,30,666,113,1368,247
5965,27,6744,876,1569,225
3136,18,9008,1106,1012,130
4074,27,416,55,3037,373
1565,31,7981,1148,885,137
5176,30,7012,865,854,231
3497,36,2506,328,3193,402
5934,30,5936,497,1016,179
5057,28,5675,1190,6836,1874
3284,22,4738,508,473,79
2180,35,1009,189,16290,3031
3802,27,12399,1463,11063,1481
2651,19,5687,508,956,108
6048,19,4229,270,6266,289
4919,27,3576,467,446,71
5911,29,8538,1154,895,202
3561,21,2741,204,5697,506
5997,26,386,42,247,51
5069,22,543,71,5937,781
3030,28,4274,670,3001,570
5037,28,1729,263,6908,1070
1070,26,514,85,200,28
1588,24,370,32,9768,1133
4295,25,2538,313,4474,716
2222,26,3572,515,1021,128
42,29,955,150,10443,1965
4893,26,645,47,3949,839
5345,22,878,76,4047,540
3056,22,3345,521,1345,194
5516,30,14396,2872,1511,332
4256,29,6549,1288,427,79
5350,22,480,63,6375,1304
1777,34,2140,234,4216,594
4183,18,860,82,1345,207
5056,38,2742,304,4111,424
2862,36,3964,536,14092,2248
4826,33,668,81,5435,679
1650,29,1791,215,8097,1061
4265,30,5085,655,7373,1070
1248,23,6438,858,1389,238
5839,21,523,75,8212,1056
2968,27,10849,1787,640,147
2358,29,831,107,7554,1088
3085,35,490,45,1746,269
2281,30,479,67,14422,2204
1375,30,5590,886,2093,329
269,37,4302,516,832,184
3470,31,638,60,4647,649
2257,32,10624,2522,611,142
4285,22,1397,176,7231,971
2008,20,5859,785,6038,1057
1772,37,6210,761,1185,175
747,22,2098,297,11596,1890
1789,25,471,45,7677,896
186,32,11575,1710,726,134
453,31,502,55,4280,700
3087,33,4117,851,333,61
1746,25,1797,232,5393,719
4902,26,736,115,13968,3406
2321,36,493,44,3429,467
3777,22,682,88,6833,1098
2829,26,581,64,5981,1048
1868,22,501,59,10764,1470
75,28,1399,230,234,47
1255,30,521,67,10232,1449
205,18,4850,357,6461,623
2329,24,7944,1706,10155,2268
480,33,4102,617,875,152
3262,31,3227,530,9340,1655
1873,27,3621,432,445,101
4944,26,344,43,1282,176
1097,28,17608,3082,824,168
3790,23,718,94,4566,388
2794,21,3948,849,2791,551
5058,29,818,108,14399,1866
2048,26,467,58,8016,1579
2160,28,534,88,7867,1755
929,35,8568,1522,464,102
2247,31,863,134,264,55
696,36,646,68,5684,887
2820,43,1982,404,15359,2497
581,29,1704,216,481,72
1044,28,7429,886,1477,211
1071,41,4547,895,5221,1055
3493,41,8298,1131,843,148
300,42,6468,1486,9266,2115
3980,23,7302,1240,1262,198
1908,30,3655,507,5180,718
1718,22,632,82,7387,1126
2980,43,378,64,502,172
2749,22,1279,172,234,46
758,25,832,126,5277,627
172,21,433,54,5284,862
4305,16,2695,247,409,60
1337,32,9461,1213,779,144
2173,28,3399,518,763,139
1037,27,436,65,16426,3133
4302,23,3752,389,501,63
